artist,data-has-content,rank,song,year
Buddy Cagle ,true ,32 ,Tonight I'm Coming Home,1966
Hank Snow ,true ,33 ,The Count Down,1966
Roger Miller ,true ,34 ,Husbands And Wives,1966
Buck Owens and The Buckaroos ,true ,35 ,Think Of Me,1966
Jan Howard ,true ,36 ,Evil On Your Mind,1966
George Hamilton IV ,true ,37 ,Steel Rail Blues,1966
Dave Dudley ,true ,38 ,Viet Nam Blues,1966
Ray Pillow ,true ,39 ,Common Colds And Broken Hearts,1966
Jean Shepard ,true ,40 ,I'll Take The Dog,1966
Sheb Wooley ,true ,41 ,I'll Leave The Singin' To The Bluebirds,1966
Buck Owens ,true ,42 ,Waitin' In Your Welfare Line,1966
Stu Phillips ,true ,43 ,Bracero,1966
Ernest Tubb ,true ,44 ,Till My Getup Has Gotup And Gone,1966
Freddie Hart ,true ,45 ,Why Should I Cry Over You,1966
Van Trevor ,true ,46 ,Born To Be In Love With You,1966
Del Reeves ,true ,47 ,One Bum Town,1966
Webb Pierce ,true ,48 ,You Ain't No Better Than Me,1966
Hank Williams Jr. ,false ,49 ,Standing In The Shadows,1966
SSgt Barry Sadler ,false ,50 ,'The A Team',1966
Buck Owens and The Buckaroos ,true ,1 ,Sam's Place,1967
Wynn Stewart ,true ,2 ,It's Such A Pretty World Today,1967
Merle Haggard ,true ,3 ,I Threw Away The Rose,1967
Tammy Wynette ,true ,4 ,Your Good Girl's Gonna Go Bad,1967
Lynn Anderson ,true ,5 ,If I Kiss You (Will You Go Away),1967
Jack Greene ,true ,6 ,All The Time,1967
Johnny Cash &amp; June Carter ,true ,7 ,Jackson,1967
Roger Miller ,true ,8 ,Walkin' In The Sunshine,1967
Johnny Darrell ,true ,9 ,Ruby, Don't Take Your Love To Town,1967
Ray Price ,true ,10 ,Danny Boy,1967
Dottie West ,true ,11 ,Paper Mansions,1967
Sonny James ,true ,12 ,Need You,1967
Waylon Jennings ,true ,13 ,Mental Revenge,1967
Mel Tillis ,true ,14 ,Life Turned Her That Way,1967
David Houston ,true ,15 ,With One Exception,1967
Liz Anderson ,true ,16 ,Mama Spank,1967
Connie Smith ,true ,17 ,I'll Come Runnin',1967
Tex Ritter ,true ,18 ,Just Beyond The Moon,1967
Billy Walker ,true ,19 ,Anything Your Heart Desires,1967
Johnny Paycheck ,true ,20 ,Jukebox Charlie,1967
Country Charley Pride ,true ,21 ,I Know One,1967
George Jones ,true ,22 ,Walk Through This World With Me,1967
Eddy Arnold ,true ,23 ,Misty Blue,1967
The Harden Trio ,true ,24 ,Sneaking 'Cross The Border,1967
Willis ,true ,25 ,Bob,1967
Wilma Burgess ,true ,26 ,Fifteen Days,1967
Warner Mack ,true ,27 ,Drifting Apart,1967
Eddy Arnold ,true ,28 ,Lonely Again,1967
'Little Jimmy Dickens' ,true ,29 ,Country Music Lover,1967
Jim &amp; Jesse ,true ,30 ,Diesel On My Tail,1967
Nat Stuckey ,true ,31 ,All My Tomorrows,1967
Porter Wagoner ,true ,32 ,The Cold Hard Facts Of Life,1967
Wanda Jackson ,true ,33 ,Both Sides Of The Line,1967
Willie Nelson ,true ,34 ,The Party's Over,1967
Wilburn Brothers ,true ,35 ,Roarin' Again,1967
Dave Dudley ,true ,36 ,My Kind Of Love,1967
The Statler Brothers ,true ,37 ,Ruthless,1967
Bobby Bare ,true ,38 ,Charleston Railroad Tavern,1967
George Hamilton IV ,true ,39 ,Urge For Going,1967
Claude King ,true ,40 ,The Watchman,1967
Ray Pennington ,true ,41 ,Ramblin' Man,1967
Loretta Lynn ,true ,42 ,If You're Not Gone Too Long,1967
Stonewall Jackson ,true ,43 ,Stamp Out Loneliness,1967
George Morgan ,true ,44 ,I Couldn't See,1967
Webb Pierce ,true ,45 ,Goodbye City, Goodbye Girl,1967
Stonemans ,true ,46 ,Back To Nashville, Tennessee,1967
Hank Snow ,true ,47 ,Down At The Pawn Shop,1967
Norma Jean ,true ,48 ,Conscience Keep An Eye On Me,1967
Robert Mitchum ,true ,49 ,Little Old Wine Drinker Me,1967
Bonnie Guitar ,true ,50 ,You Can Steal Me,1967
Bobby Goldsboro ,true ,1 ,Honey,1968
Glen Campbell ,true ,2 ,I Wanna Live,1968
Bill Anderson ,true ,3 ,Wild Week-End,1968
Waylon Jennings &amp; Anita Carter ,true ,4 ,I Got You,1968
Jerry Lee Lewis ,true ,5 ,Another Place Another Time,1968
Merle Haggard ,true ,6 ,The Legend Of Bonnie And Clyde,1968
Conway Twitty ,true ,7 ,The Image Of Me,1968
David Houston ,true ,8 ,Have A Little Faith,1968
Buck Owens ,true ,9 ,Sweet Rosie Jones,1968
Lynn Anderson ,true ,10 ,No Another Time,1968
Loretta Lynn ,true ,11 ,Fist City,1968
Porter Wagoner And Dolly Parton ,true ,12 ,Holding On To Nothin',1968
Wynn Stewart ,true ,13 ,Something Pretty,1968
Faron Young ,true ,14 ,She Went A Little Bit Farther,1968
Henson Cargill ,true ,15 ,Row Row Row,1968
Johnny Darrell ,true ,16 ,With Pen In Hand,1968
Leon Ashley ,true ,17 ,Mental Journey,1968
Del Reeves ,true ,18 ,Wild Blood,1968
Jim Reeves ,true ,19 ,That's When I See The Blues (In Your Pretty Brown Eyes),1968
Tammy Wynette ,true ,20 ,D-I-V-O-R-C-E,1968
Slim Whitman ,true ,21 ,Rainbows Are Back In Style,1968
Roger Miller ,true ,22 ,Little Green Apples,1968
Dave Dudley ,true ,23 ,There Ain't No Easy Run,1968
Jerry Reed ,true ,24 ,Remembering,1968
Jimmy Dean ,true ,25 ,A Thing Called Love,1968
Marty Robbins ,true ,26 ,Love Is In The Air,1968
Dottie West ,true ,27 ,Country Girl,1968
Charlie Louvin ,true ,28 ,Will You Visit Me On Sundays?,1968
Jan Howard ,true ,29 ,Count Your Blessings, Woman,1968
Johnny Bush ,true ,30 ,What A Way To Live,1968
Billy Walker ,true ,31 ,Sundown Mary,1968
Kenny Price ,true ,32 ,Going Home For The Last Time,1968
Ray Price ,true ,33 ,I've Been There Before,1968
Roy Drusky ,true ,34 ,You Better Sit Down Kids,1968
Arlene ,true ,35 ,He's A Good Ole Boy,1968
Charley Pride ,true ,36 ,The Easy Part's Over,1968
Bobby Lewis ,true ,37 ,Ordinary Miracle,1968
Van Trevor ,true ,38 ,Take Me Along With You,1968
George Jones ,true ,39 ,Small Time Laboring Man,1968
Connie Smith ,true ,40 ,Run Away Little Tears,1968
Hugh X. Lewis ,true ,41 ,Evolution And The Bible,1968
Jack Greene ,true ,42 ,You Are My Treasure,1968
Dallas Frazier ,true ,43 ,The Sunshine Of My World,1968
Elton Britt ,true ,44 ,The Jimmie Rodgers Blues,1968
Wanda Jackson ,true ,45 ,My Baby Walked Right Out On Me,1968
Bobby Lord ,true ,46 ,Live Your Life Out Loud,1968
Jimmy Newman ,true ,47 ,Sunshine And Bluebirds,1968
Warner Mack ,true ,48 ,I'm Gonna Move On,1968
Marion Worth ,true ,49 ,Mama Sez,1968
Ray Griff ,true ,50 ,The Sugar From My Candy,1968
Tammy Wynette ,true ,1 ,Singing My Song,1969
George Jones ,true ,2 ,I'll Share My World With You,1969
Freddy Weller ,true ,3 ,Games People Play,1969
Bill Anderson ,true ,4 ,My Life (Throw It Away If I Want To),1969
Bobby Bare ,true ,5 ,(Margie's At) The Lincoln Park Inn,1969
